ProvinceEN,ZipCode,latitude,longitude
Phitsanulok,65210,16.568,100.451
Phitsanulok,65220,16.962,100.587
Phitsanulok,65230,16.67933333,100.2496667
Phitsanulok,65240,16.79,99.9695
Phra Nakhon Si Ayutthaya,13000,14.35542857,100.5619048
Phra Nakhon Si Ayutthaya,13110,14.31170588,100.3804706
Phra Nakhon Si Ayutthaya,13120,14.45990909,100.3819091
Phra Nakhon Si Ayutthaya,13130,14.5382,100.7109
Phra Nakhon Si Ayutthaya,13140,14.441125,100.724125
Phra Nakhon Si Ayutthaya,13150,14.56958333,100.5346667
Phra Nakhon Si Ayutthaya,13160,14.25333333,100.5853333
Phra Nakhon Si Ayutthaya,13170,14.24627273,100.7200909
Phra Nakhon Si Ayutthaya,13180,14.16,100.594
Phra Nakhon Si Ayutthaya,13190,14.23710526,100.4763684
Phra Nakhon Si Ayutthaya,13210,14.355,100.6899091
Phra Nakhon Si Ayutthaya,13220,14.47288235,100.5437647
Phra Nakhon Si Ayutthaya,13230,14.16628571,100.3497143
Phra Nakhon Si Ayutthaya,13240,14.6412,100.562
Phra Nakhon Si Ayutthaya,13250,14.3863125,100.4631875
Phra Nakhon Si Ayutthaya,13260,14.46308333,100.6285
Phra Nakhon Si Ayutthaya,13270,14.3095,100.3
Phra Nakhon Si Ayutthaya,13280,14.4482,100.3054
Phra Nakhon Si Ayutthaya,13290,14.16033333,100.534
Phrae,54000,18.16128571,100.1902381
Phrae,54110,17.9524,100.0362
Phrae,54120,18.46,100.200375
Phrae,54130,18.05327273,100.1249091
Phrae,54140,18.33045455,100.3395455
Phrae,54150,18.08255556,99.85255556
Phrae,54160,17.87314286,99.581
Phrae,54170,18.2865,100.1775
Phuket,83000,7.927571429,98.41957143
Phuket,83100,7.828,98.293
Phuket,83110,8.06525,98.38283333
Phuket,83120,7.914,98.338
Phuket,83130,7.711166667,98.33658333
Phuket,83150,7.9245,98.2985
Prachin Buri,25000,14.05577778,101.3865556
Prachin Buri,25110,13.93253846,101.7664615
Prachin Buri,25130,14.083125,101.558375
Prachin Buri,25140,13.9126,101.5213
Prachin Buri,25150,13.94244444,101.2446667
Prachin Buri,25190,13.8925,101.4105
Prachin Buri,25220,14.15433333,101.828
Prachin Buri,25230,14.14566667,101.3456667
Prachin Buri,25240,13.999,101.77
Prachuap Khiri Khan,77000,11.7964,99.7222
Prachuap Khiri Khan,77110,12.521,99.78685714
Prachuap Khiri Khan,77120,12.37466667,99.83683333
Prachuap Khiri Khan,77130,11.55383333,99.56733333
Prachuap Khiri Khan,77140,11.221,99.50866667
Prachuap Khiri Khan,77150,12.11483333,99.847
Prachuap Khiri Khan,77170,11.0592,99.373
Prachuap Khiri Khan,77180,12.2615,99.65125
Prachuap Khiri Khan,77190,11.3465,99.499
Prachuap Khiri Khan,77210,11.996,99.771
Prachuap Khiri Khan,77220,12.381,99.981
Prachuap Khiri Khan,77230,11.2515,99.381
Ranong,85000,9.85632,98.52428
Ranong,85110,10.43614286,98.82785714
Ranong,85120,9.518238095,98.466
Ranong,85130,10.082125,98.77775
Ratchaburi,70000,13.54381818,99.80454545
Ratchaburi,70110,13.80628571,99.8525
Ratchaburi,70120,13.69673684,99.81510526
Ratchaburi,70130,13.55054545,99.95863636
Ratchaburi,70140,13.38308333,99.762
Ratchaburi,70150,13.65166667,99.52716667
Ratchaburi,70160,13.67485714,99.97242857
Ratchaburi,70170,13.44866667,99.865
Ratchaburi,70180,13.46842857,99.37957143
Ratchaburi,70190,13.908,99.868
Ratchaburi,70210,13.5815,100.026
Rayong,21000,12.694375,101.304125
Rayong,21100,12.782,101.464
Rayong,21110,12.84438462,101.6402308
Rayong,21120,12.80285714,101.3238571
